Claim,Source,Truth,Sentence_len,Type,Word_avg_len,NN_ratio,NNS_ratio,NNP_ratio,NNPS_ratio,PRP_ratio,PRP$_ratio,WP_ratio,WP$_ratio,Noun_ratio,VB_ratio,VBD_ratio,VBG_ratio,VBN_ratio,VBP_ratio,VBZ_ratio,Verb_ratio,JJ_ratio,JJR_ratio,JJS_ratio,Adj_ratio,RB_ratio,RBR_ratio,RBS_ratio,WRB_ratio,Adv_ratio,CC_ratio,CD_ratio,DT_ratio,EX_ratio,FW_ratio,IN_ratio,LS_ratio,MD_ratio,PDT_ratio,POS_ratio,RP_ratio,SYM_ratio,TO_ratio,UH_ratio,WDT_ratio,Function_ratio,Content_ratio
Barcelona anti-lockdown protesters call for end to state of emergency,ReCOVery,FALSE,10,10,6,30,10,10,0,0,0,0,0,50,0,0,0,0,10,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,0,0,30,70
Video post showing that conflict between villagers and police in India as a COVID-19 suspected corpse was carried to the cemetery.,COVID Fake News Dataset,FALSE,21,21,5.238095238,23.80952381,9.523809524,14.28571429,0,0,0,0,0,47.61904762,0,9.523809524,0,4.761904762,0,0,14.28571429,0,0,0,0,0,0,0,0,0,4.761904762,0,9.523809524,0,0,14.28571429,0,0,0,0,0,0,4.761904762,0,4.761904762,38.0952381,61.90476191
"Vaccines, including the one for COVID-19, include aborted fetal tissues.",COVID Fake News Dataset,FALSE,10,10,6.5,0,20,10,0,0,0,0,0,30,0,0,10,0,10,0,20,20,0,0,20,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,30,70
Chinese vaccines contain a microchip that receives 5G signals and allow Chinese government to interfere with your RNA,COVID Fake News Dataset,FALSE,18,17,5.555555556,16.66666667,11.11111111,0,0,0,5.555555556,0,0,33.33333334,11.11111111,0,0,0,5.555555556,5.555555556,22.22222222,11.11111111,0,0,11.11111111,0,0,0,0,0,5.555555556,5.555555556,5.555555556,0,0,5.555555556,0,0,0,0,0,0,5.555555556,0,5.555555556,33.33333334,66.66666667
Vibrations heal and prevent coronavirus.,COVID Fake News Dataset,FALSE,5,5,7.2,60,20,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80
Dermatological lesions on the feet of children and adolescents and its possible relationship with COVID-19.,COVID Fake News Dataset,FALSE,15,14,6.2,6.666666667,26.66666667,6.666666667,0,0,6.666666667,0,0,46.66666667,0,0,0,0,0,0,0,13.33333333,0,0,13.33333333,0,0,0,0,0,13.33333333,0,6.666666667,0,0,20,0,0,0,0,0,0,0,0,0,40,60
"Ohio Gov. Mike DeWine released 4,300 prisoners and is now warning residents of a possible crime wave.",COVID-19 MISINFO,FALSE,17,17,5.117647059,11.76470588,11.76470588,23.52941176,0,0,0,0,0,47.05882352,0,5.882352941,5.882352941,0,0,5.882352941,17.64705882,5.882352941,0,0,5.882352941,5.882352941,0,0,0,5.882352941,5.882352941,5.882352941,5.882352941,0,0,5.882352941,0,0,0,0,0,0,0,0,0,23.52941176,76.47058823
A video says the Vatican confirmed Pope Francis and two aides tested positive for coronavirus.,COVID Fake News Dataset,FALSE,15,15,5.333333333,13.33333333,6.666666667,20,0,0,0,0,0,40,0,13.33333333,0,0,0,6.666666667,20,6.666666667,0,0,6.666666667,0,0,0,0,0,6.666666667,6.666666667,13.33333333,0,0,6.666666667,0,0,0,0,0,0,0,0,0,33.33333333,66.66666666
Vitamin C and Omega prevent the new coronavirus.,COVID Fake News Dataset,FALSE,8,8,5.125,12.5,0,37.5,0,0,0,0,0,50,0,0,0,0,12.5,0,12.5,12.5,0,0,12.5,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,25,75
The Asterix comic books and The Simpsons predicted the coronavirus outbreak.,COVID Fake News Dataset,FALSE,11,10,6,18.18181818,9.090909091,18.18181818,0,0,0,0,0,45.45454545,0,9.090909091,0,0,0,0,9.090909091,9.090909091,0,0,9.090909091,0,0,0,0,0,9.090909091,0,27.27272727,0,0,0,0,0,0,0,0,0,0,0,0,36.36363636,63.63636363
Letters and packages sent from China can cause coronavirus infection.,COVID Fake News Dataset,FALSE,10,10,6,10,20,10,0,0,0,0,0,40,10,0,0,10,0,0,20,10,0,0,10,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,30,70
Video of black bucks crossing a road in Kaziranga national park amid COVID-19 lockdown.,COVID Fake News Dataset,FALSE,14,14,5.285714286,21.42857143,7.142857143,21.42857143,0,0,0,0,0,50,0,0,7.142857143,0,0,0,7.142857143,14.28571429,0,0,14.28571429,0,0,0,0,0,0,0,7.142857143,0,0,21.42857143,0,0,0,0,0,0,0,0,0,28.57142857,71.42857144
DPS (Delhi Public School) is selling masks with its logo printed on it to students for Rs.400 each.,COVID Fake News Dataset,FALSE,18,18,4.555555556,5.555555556,11.11111111,27.77777778,0,5.555555556,5.555555556,0,0,55.55555556,0,0,5.555555556,5.555555556,0,5.555555556,16.66666667,0,0,0,0,0,0,0,0,0,0,0,5.555555556,0,0,16.66666667,0,0,0,0,0,0,5.555555556,0,0,27.77777778,72.22222223
Zee News claims that lockdown will apply again from 15 June in India.,COVID Fake News Dataset,FALSE,13,13,4.384615385,7.692307692,0,30.76923077,0,0,0,0,0,38.46153846,7.692307692,0,0,0,0,7.692307692,15.38461538,0,0,0,0,7.692307692,0,0,0,7.692307692,0,7.692307692,0,0,0,23.07692308,0,7.692307692,0,0,0,0,0,0,0,38.46153846,61.53846154
A photo of a man and woman embracing has been shared on Facebook and Twitter alongside a claim that it shows two Italian doctors who died from COVID-19 after contracting the disease from the patients they treated.,COVID Fake News Dataset,FALSE,37,33,4.783783784,16.21621622,5.405405405,8.108108108,0,5.405405405,0,2.702702703,0,37.83783784,0,5.405405405,2.702702703,5.405405405,2.702702703,5.405405405,21.62162162,2.702702703,0,0,2.702702703,0,0,0,0,0,5.405405405,2.702702703,13.51351351,0,0,16.21621622,0,0,0,0,0,0,0,0,0,37.83783784,62.16216217
Councilor Pen White-Chung said coronavirus is from the USA based on a Chinese academic study.,COVID Fake News Dataset,FALSE,15,15,5.266666667,13.33333333,0,26.66666667,0,0,0,0,0,40,0,6.666666667,0,6.666666667,0,6.666666667,20,13.33333333,0,0,13.33333333,0,0,0,0,0,0,0,13.33333333,0,0,13.33333333,0,0,0,0,0,0,0,0,0,26.66666666,73.33333333
"News and media outlet ABP Majha, on the basis of an internal memo of South Central Railway, reported that a special train has been announced to take the stranded migrant workers home.",COVID Fake News Dataset,FALSE,32,30,4.8125,21.875,6.25,15.625,0,0,0,0,0,43.75,3.125,3.125,0,6.25,0,3.125,15.625,9.375,0,0,9.375,0,0,0,0,0,3.125,0,12.5,0,0,12.5,0,0,0,0,0,0,3.125,0,0,31.25,68.75
"Going near a fire or stove after applying hand sanitizers, causes more fire as it contains alcohol.",COVID Fake News Dataset,FALSE,17,16,5,23.52941176,5.882352941,0,0,5.882352941,0,0,0,35.29411764,5.882352941,0,11.76470588,0,0,11.76470588,29.4117647,0,5.882352941,0,5.882352941,0,0,0,0,0,5.882352941,0,5.882352941,0,0,17.64705882,0,0,0,0,0,0,0,0,0,29.4117647,70.58823528
COVID-19 is immune to organisms with a pH greater than 5.5.,COVID Fake News Dataset,FALSE,11,11,4.454545455,9.090909091,0,9.090909091,0,0,0,0,0,18.18181818,9.090909091,0,0,0,0,9.090909091,18.18181818,9.090909091,9.090909091,0,18.18181818,0,0,0,0,0,0,9.090909091,9.090909091,0,0,18.18181818,0,0,0,0,0,0,9.090909091,0,0,45.45454545,54.54545455
"Video representing the plight of migrant workers in India during the current lockdown, where a woman with infant had to travel while sitting on the coupler between train bogies.",COVID Fake News Dataset,FALSE,29,27,5.206896552,20.68965517,6.896551724,6.896551724,0,0,0,0,0,34.48275862,3.448275862,3.448275862,6.896551724,0,0,0,13.79310345,6.896551724,0,0,6.896551724,0,0,0,3.448275862,3.448275862,0,0,13.79310345,0,0,24.13793103,0,0,0,0,0,0,3.448275862,0,0,41.37931034,58.62068965
Muslim People in China seeking refuge in Islam by reading Quran to save themselves from COVID-19.,COVID Fake News Dataset,FALSE,16,15,5.125,6.25,6.25,25,0,6.25,0,0,0,43.75,6.25,0,12.5,0,0,0,18.75,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,6.25,0,0,31.25,68.75
A conpiracy theory about a news report from the correspondent in Finland for the Swedish public service TV.,COVID Fake News Dataset,FALSE,18,17,5,38.88888889,0,5.555555556,0,0,0,0,0,44.44444445,0,0,0,0,0,0,0,11.11111111,0,0,11.11111111,0,0,0,0,0,0,0,22.22222222,0,0,22.22222222,0,0,0,0,0,0,0,0,0,44.44444444,55.55555556
French President Macron and its spouse are jetskiing during the lockdown.,COVID Fake News Dataset,FALSE,11,11,5.727272727,18.18181818,0,18.18181818,0,0,9.090909091,0,0,45.45454545,0,0,9.090909091,0,9.090909091,0,18.18181818,9.090909091,0,0,9.090909091,0,0,0,0,0,9.090909091,0,9.090909091,0,0,9.090909091,0,0,0,0,0,0,0,0,0,27.27272727,72.72727272
The WHO recommended that all countries go into quarantine to combat COVID-19.,COVID Fake News Dataset,FALSE,12,12,5.5,8.333333333,8.333333333,16.66666667,0,0,0,0,0,33.33333334,8.333333333,8.333333333,0,0,8.333333333,0,25,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,16.66666667,0,0,0,0,0,0,8.333333333,0,0,41.66666667,58.33333334
An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,COVID Fake News Dataset,FALSE,20,18,4.5,25,10,5,0,0,5,0,0,45,0,0,5,0,0,10,15,10,0,0,10,0,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,5,30,70
People who recover can get it again.,MythBusters,FALSE,7,7,4.285714286,0,14.28571429,0,0,14.28571429,0,14.28571429,0,42.85714287,14.28571429,0,0,0,14.28571429,0,28.57142858,0,0,0,0,14.28571429,0,0,0,14.28571429,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,14.28571429,85.71428574
Multiple Facebook and Twitter posts shared hundreds of times claim the World Health Organization (WHO) reported that no vegetarian has contracted the novel coronavirus.,COVID Fake News Dataset,FALSE,24,23,6.041666667,8.333333333,12.5,25,0,0,0,0,0,45.83333333,0,8.333333333,0,4.166666667,4.166666667,4.166666667,20.83333333,8.333333333,0,0,8.333333333,0,0,0,0,0,4.166666667,0,12.5,0,0,8.333333333,0,0,0,0,0,0,0,0,0,25,75
There is no coronavirus in Africa because there is no money there and they cannot get into debt with the International Monetary Fund.,COVID Fake News Dataset,FALSE,23,20,4.826086957,13.04347826,0,17.39130435,0,4.347826087,0,0,0,34.7826087,4.347826087,0,0,0,0,8.695652174,13.04347826,0,0,0,0,8.695652174,0,0,0,8.695652174,4.347826087,0,13.04347826,8.695652174,0,17.39130435,0,4.347826087,0,0,0,0,0,0,0,47.82608696,56.52173913
Number of covid-related deaths has fallen since federal police started an investigation on the number of deaths,COVID Fake News Dataset,FALSE,17,15,5.588235294,17.64705882,11.76470588,5.882352941,0,0,0,0,0,35.29411764,0,5.882352941,0,5.882352941,0,5.882352941,17.64705882,11.76470588,0,0,11.76470588,0,0,0,0,0,0,0,11.76470588,0,0,23.52941176,0,0,0,0,0,0,0,0,0,35.29411764,64.70588234
US Sanctions Chinese Surveillance Companies For Human Rights Abuses Against Uighurs,ReCOVery,FALSE,11,11,6.636363636,0,0,81.81818182,0,0,0,0,0,81.81818182,0,0,0,0,0,0,0,9.090909091,0,0,9.090909091,0,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,0,0,9.090909091,90.90909091
"Quoting a WHO advisory, a text claims that India has been following a four-phase lockdown to control the spread of coronavirus.",COVID Fake News Dataset,FALSE,21,19,5.19047619,23.80952381,0,9.523809524,0,0,0,0,0,33.33333333,4.761904762,0,9.523809524,4.761904762,0,9.523809524,28.57142857,4.761904762,0,0,4.761904762,0,0,0,0,0,0,0,19.04761905,0,0,9.523809524,0,0,0,0,0,0,4.761904762,0,0,33.33333334,66.66666667
"Philippines Senators Grace Poe and Risa Hontiveros have been silent over the coronavirus crisis, but were very vocal about the closure of ABS-CBN.",COVID Fake News Dataset,FALSE,23,22,5.47826087,13.04347826,0,21.73913043,8.695652174,0,0,0,0,43.47826086,0,4.347826087,0,8.695652174,4.347826087,0,17.39130435,4.347826087,0,0,4.347826087,4.347826087,0,0,0,4.347826087,8.695652174,0,8.695652174,0,0,13.04347826,0,0,0,0,0,0,0,0,0,30.43478261,69.56521739
One can destroy the new coronavirus by doing the following breathing exercises.,COVID Fake News Dataset,FALSE,12,11,5.666666667,16.66666667,8.333333333,0,0,0,0,0,0,25,8.333333333,0,16.66666667,0,0,0,25,8.333333333,0,0,8.333333333,0,0,0,0,0,0,8.333333333,16.66666667,0,0,8.333333333,0,8.333333333,0,0,0,0,0,0,0,41.66666667,58.33333334
Pope Francis contacted coronavirus.,COVID Fake News Dataset,FALSE,4,4,8,25,0,50,0,0,0,0,0,75,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
This viral image shows how effective face masks are.,COVID Fake News Dataset,FALSE,9,9,4.888888889,22.22222222,11.11111111,0,0,0,0,0,0,33.33333333,0,0,0,0,11.11111111,11.11111111,22.22222222,22.22222222,0,0,22.22222222,0,0,0,11.11111111,11.11111111,0,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,88.88888888
Novel coronavirus has a 99.7% survival rate.,COVID Fake News Dataset,FALSE,7,7,5.428571429,42.85714286,0,14.28571429,0,0,0,0,0,57.14285715,0,0,0,0,0,14.28571429,14.28571429,14.28571429,0,0,14.28571429,0,0,0,0,0,0,14.28571429,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,28.57142858,85.71428573
Photo showing coronavirus infected mother hugging her child.,COVID Fake News Dataset,FALSE,8,8,6.625,37.5,0,12.5,0,0,12.5,0,0,62.5,0,12.5,25,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"Ethiopia reports 2144 new infections with the novel coronavirus, bringing the total number to 63,000.",COVID Fake News Dataset,FALSE,15,14,5.933333333,20,13.33333333,0,0,0,0,0,0,33.33333333,0,0,6.666666667,0,0,0,6.666666667,20,0,0,20,0,0,0,0,0,0,13.33333333,13.33333333,0,0,6.666666667,0,0,0,0,0,0,6.666666667,0,0,39.99999999,60
Coronavirus multiplies in sewage and pouring bleach in the sewage water would help.,COVID-19 MISINFO,FALSE,13,11,5.461538462,30.76923077,7.692307692,7.692307692,0,0,0,0,0,46.15384615,7.692307692,0,7.692307692,0,0,0,15.38461538,0,0,0,0,0,0,0,0,0,7.692307692,0,7.692307692,0,0,15.38461538,0,7.692307692,0,0,0,0,0,0,0,38.46153846,61.53846154
"Video of Migrant workers escaping from a train carrying them to Assam in Nagaon, India by stopping the train.",COVID Fake News Dataset,FALSE,19,19,4.894736842,10.52631579,5.263157895,26.31578947,0,5.263157895,0,0,0,47.36842105,0,0,15.78947368,0,0,0,15.78947368,0,0,0,0,0,0,0,0,0,0,0,10.52631579,0,0,21.05263158,0,0,0,0,0,0,5.263157895,0,0,36.84210527,63.15789473
A Japanese study reveals that COVID-19 mortality is lower than the flu.,COVID Fake News Dataset,FALSE,12,12,5,25,8.333333333,8.333333333,0,0,0,0,0,41.66666667,0,0,0,0,0,8.333333333,8.333333333,8.333333333,8.333333333,0,16.66666667,0,0,0,0,0,0,0,16.66666667,0,0,16.66666667,0,0,0,0,0,0,0,0,0,33.33333334,66.66666667
Video of a doctor at a press conference who said: Hydroxychloroquine is a cure for COVID-19. He also said that masks are not necessary.,COVID Fake News Dataset,FALSE,24,22,4.666666667,16.66666667,4.166666667,12.5,0,4.166666667,0,4.166666667,0,41.66666667,0,8.333333333,0,0,4.166666667,4.166666667,16.66666667,4.166666667,0,0,4.166666667,8.333333333,0,0,0,8.333333333,0,0,12.5,0,0,16.66666667,0,0,0,0,0,0,0,0,0,29.16666667,70.83333334
WHO has guidelines that encourage child masturbation.,COVID Fake News Dataset,FALSE,7,7,6.714285714,14.28571429,14.28571429,0,0,0,0,14.28571429,0,42.85714287,0,0,0,0,14.28571429,14.28571429,28.57142858,14.28571429,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,14.28571429,85.71428574
A video of an alleged seer who predicted the coronavirus in December 2019,COVID Fake News Dataset,FALSE,13,13,4.692307692,23.07692308,0,7.692307692,0,0,0,7.692307692,0,38.46153846,0,7.692307692,0,7.692307692,0,0,15.38461538,0,0,0,0,0,0,0,0,0,0,7.692307692,23.07692308,0,0,15.38461538,0,0,0,0,0,0,0,0,0,46.15384615,53.84615385
Weed (cannabis) cures coronavirus.,COVID Fake News Dataset,FALSE,4,4,7.75,50,0,25,0,0,0,0,0,75,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A post in Facebook that said the Health Ministry of Costa Rica does coronavirus test home by home to suspicious pacient.,COVID Fake News Dataset,FALSE,21,20,4.761904762,19.04761905,0,23.80952381,0,0,0,0,0,42.85714286,9.523809524,4.761904762,0,0,0,4.761904762,19.04761905,4.761904762,0,0,4.761904762,0,0,0,0,0,0,0,9.523809524,0,0,14.28571429,0,0,0,0,0,0,4.761904762,0,4.761904762,33.33333334,66.66666667
"According to Radar Box, the COVID-19 pandemic only reduced air traffic in Brazil and Africa.",COVID Fake News Dataset,FALSE,15,15,5.333333333,20,0,33.33333333,0,0,0,0,0,53.33333333,0,6.666666667,6.666666667,0,0,0,13.33333333,0,0,0,0,6.666666667,0,0,0,6.666666667,6.666666667,0,6.666666667,0,0,6.666666667,0,0,0,0,0,0,6.666666667,0,0,26.66666667,73.33333333
"Axel Kicillof (Governor of the Province of Buenos Aires): 80 days after the first case, Argentina has 10,000 cases; Chile, 60 thousands and Brazil, 200 thousands.",COVID Fake News Dataset,FALSE,26,24,5.346153846,3.846153846,15.38461538,34.61538462,0,0,0,0,0,53.84615385,0,0,0,0,0,3.846153846,3.846153846,3.846153846,0,0,3.846153846,0,0,0,0,0,3.846153846,15.38461538,7.692307692,0,0,11.53846154,0,0,0,0,0,0,0,0,0,38.46153846,61.53846154
Puzzle Game Aims To Crowdsource A COVID-19 Cure,ReCOVery,FALSE,8,8,5,12.5,0,37.5,0,0,0,0,0,50,12.5,0,0,0,0,0,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,25,75
Lions were released on Russian streets by Vladimir Putin to force people inside.,COVID Fake News Dataset,FALSE,13,13,5.230769231,0,23.07692308,15.38461538,0,0,0,0,0,38.46153846,7.692307692,7.692307692,0,7.692307692,0,0,23.07692308,7.692307692,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,23.07692308,0,0,0,0,0,0,7.692307692,0,0,30.76923077,69.23076923
A Facebook user suggested that palm oil can stop the spread of COVID-19.,COVID Fake News Dataset,FALSE,13,13,4.615384615,23.07692308,0,15.38461538,0,0,0,0,0,38.46153846,7.692307692,7.692307692,0,0,0,0,15.38461538,7.692307692,0,0,7.692307692,0,0,0,0,0,0,0,15.38461538,0,0,15.38461538,0,7.692307692,0,0,0,0,0,0,0,38.46153845,61.53846154
The Chinese accept Islam en masse (20 million).,COVID Fake News Dataset,FALSE,8,8,5,12.5,0,12.5,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,50,50
Lockdown in Telangana extended till 3 June 2020.,COVID Fake News Dataset,FALSE,8,8,5.125,0,0,25,0,0,0,0,0,25,0,12.5,0,12.5,0,0,25,0,0,0,0,12.5,0,0,0,12.5,0,25,0,0,0,12.5,0,0,0,0,0,0,0,0,0,37.5,62.5
The Peruvian Ministry of Health and the WHO advised to use ginger to combat the new coronavirus.,COVID Fake News Dataset,FALSE,17,15,4.705882353,11.76470588,0,17.64705882,0,0,0,0,0,29.4117647,11.76470588,5.882352941,0,0,0,0,17.64705882,11.76470588,0,0,11.76470588,0,0,0,0,0,5.882352941,0,17.64705882,0,0,5.882352941,0,0,0,0,0,0,11.76470588,0,0,41.17647058,58.8235294
US Defense Secretary Mark Esper let slip that 5G could be destructive and it has something to do with pandemic.,COVID Fake News Dataset,FALSE,20,20,4.6,15,0,25,0,5,0,0,0,45,15,0,0,0,0,5,20,5,0,0,5,0,0,0,0,0,5,5,0,0,0,10,0,5,0,0,0,0,5,0,0,30,70
An old news article says the COVID-19 pandemic was predicted in 1981.,COVID Fake News Dataset,FALSE,12,12,4.833333333,25,0,8.333333333,0,0,0,0,0,33.33333333,0,8.333333333,0,8.333333333,0,8.333333333,25,8.333333333,0,0,8.333333333,0,0,0,0,0,0,8.333333333,16.66666667,0,0,8.333333333,0,0,0,0,0,0,0,0,0,33.33333334,66.66666667
Mexicans can call the Mexican government to get a COVID-19 test at home.,COVID Fake News Dataset,FALSE,13,13,4.615384615,23.07692308,7.692307692,0,0,0,0,0,0,30.76923077,15.38461538,0,0,0,0,0,15.38461538,15.38461538,0,0,15.38461538,0,0,0,0,0,0,0,15.38461538,0,0,7.692307692,0,7.692307692,0,0,0,0,7.692307692,0,0,38.46153846,61.53846153
Boiled orange peels with cayenne pepper are a cure for coronavirus.,COVID Fake News Dataset,FALSE,11,11,5.181818182,36.36363636,9.090909091,0,0,0,0,0,0,45.45454545,0,0,0,9.090909091,9.090909091,0,18.18181818,9.090909091,0,0,9.090909091,0,0,0,0,0,0,0,9.090909091,0,0,18.18181818,0,0,0,0,0,0,0,0,0,27.27272727,72.72727272
Fake Audio Clip on WHO Asking for 2 Month Lockdown Creates Panic,COVID Fake News Dataset,FALSE,12,12,4.416666667,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,25,75
Ecuadorean government gives money to people from Venezuela.,COVID Fake News Dataset,FALSE,8,8,6.5,25,12.5,12.5,0,0,0,0,0,50,0,0,0,0,0,12.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,25,75
A fabricated circular for the Lebanese Ministry of Education regarding the end of the school year.,COVID Fake News Dataset,FALSE,16,13,5.1875,25,0,18.75,0,0,0,0,0,43.75,0,0,6.25,0,0,0,6.25,6.25,0,0,6.25,0,0,0,0,0,0,0,25,0,0,18.75,0,0,0,0,0,0,0,0,0,43.75,56.25
A post that compares Argentina with other countries on the number of prisoners released during the pandemic.,COVID Fake News Dataset,FALSE,17,16,5.411764706,17.64705882,11.76470588,5.882352941,0,0,0,0,0,35.29411764,0,0,0,5.882352941,0,5.882352941,11.76470588,5.882352941,0,0,5.882352941,0,0,0,0,0,0,0,17.64705882,0,0,23.52941176,0,0,0,0,0,0,0,0,5.882352941,47.05882352,52.94117646
"60,000 Argentinian companies have closed due to COVID-19; also, all companies receiving government aid during the pandemic will be expropriated by the government",COVID Fake News Dataset,FALSE,23,21,6.130434783,17.39130435,8.695652174,4.347826087,0,0,0,0,0,30.43478261,4.347826087,0,4.347826087,8.695652174,4.347826087,0,21.73913044,8.695652174,0,0,8.695652174,4.347826087,0,0,0,4.347826087,0,4.347826087,13.04347826,0,0,8.695652174,0,4.347826087,0,0,0,0,4.347826087,0,0,34.7826087,65.21739131
COVID-19 pandemic is a large-scale experiment .,COVID Fake News Dataset,FALSE,7,7,5.857142857,28.57142857,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,14.28571429,14.28571429,28.57142857,0,0,28.57142857,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,71.42857143
The vaccine against the new coronavirus has existed since 2001.,COVID Fake News Dataset,FALSE,10,10,5.4,20,0,0,0,0,0,0,0,20,0,0,0,10,0,10,20,10,0,0,10,0,0,0,0,0,0,10,20,0,0,20,0,0,0,0,0,0,0,0,0,50,50
Green chiratta can prevent COVID-19.,COVID Fake News Dataset,FALSE,5,5,6.4,20,0,20,0,0,0,0,0,40,20,0,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,80
A video shows British Prime Minister Boris Johnson serving journalists tea after recovering from COVID-19.,COVID Fake News Dataset,FALSE,15,15,6.133333333,6.666666667,6.666666667,33.33333333,0,0,0,0,0,46.66666666,0,0,13.33333333,0,6.666666667,6.666666667,26.66666666,6.666666667,0,0,6.666666667,0,0,0,0,0,0,0,6.666666667,0,0,13.33333333,0,0,0,0,0,0,0,0,0,20,80
One person has been stabbed during a protest against the government in the neighbourhood of Moratalaz in Madrid.,COVID Fake News Dataset,FALSE,18,16,5.277777778,22.22222222,0,11.11111111,0,0,0,0,0,33.33333333,0,0,0,11.11111111,0,5.555555556,16.66666667,0,0,0,0,0,0,0,0,0,0,5.555555556,16.66666667,0,0,27.77777778,0,0,0,0,0,0,0,0,0,50.00000001,50
United Nations established the use of a microchip to identify people.,COVID Fake News Dataset,FALSE,11,11,5.363636364,18.18181818,9.090909091,18.18181818,0,0,0,0,0,45.45454545,9.090909091,9.090909091,0,0,0,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,18.18181818,0,0,9.090909091,0,0,0,0,0,0,9.090909091,0,0,36.36363636,63.63636363
"Multiple Facebook posts shared thousands of times by Filipino Facebook users make several false claims about a future vaccine for COVID-19, the disease caused by the novel coronavirus. The posts also make claims about a link between a potential vaccine and the rollout of 5G technology.",COVID Fake News Dataset,FALSE,46,34,5.282608696,15.2173913,15.2173913,8.695652174,0,0,0,0,0,39.13043477,0,2.173913043,0,2.173913043,4.347826087,0,8.695652173,13.04347826,0,0,13.04347826,2.173913043,0,0,0,2.173913043,2.173913043,2.173913043,15.2173913,0,0,17.39130435,0,0,0,0,0,0,0,0,0,36.95652174,63.04347825
The coronavirus has a 99.9% recovery rate in Texas.,COVID-19 MISINFO,FALSE,9,9,4.777777778,44.44444444,0,11.11111111,0,0,0,0,0,55.55555555,0,0,0,0,0,11.11111111,11.11111111,0,0,0,0,0,0,0,0,0,0,11.11111111,22.22222222,0,0,11.11111111,0,0,0,0,0,0,0,0,0,44.44444444,66.66666666
Gargling salt water and vinegar will kill the virus.,COVID Fake News Dataset,FALSE,9,9,4.888888889,44.44444444,0,0,0,0,0,0,0,44.44444444,11.11111111,0,11.11111111,0,0,0,22.22222222,0,0,0,0,0,0,0,0,0,11.11111111,0,11.11111111,0,0,0,0,11.11111111,0,0,0,0,0,0,0,33.33333333,66.66666666
"Kabataan Representative, in the Philippines Sarah Elago tested positive for coronavirus.",COVID Fake News Dataset,FALSE,11,11,7.272727273,9.090909091,0,36.36363636,9.090909091,0,0,0,0,54.54545454,0,9.090909091,0,0,0,0,9.090909091,9.090909091,0,0,9.090909091,0,0,0,0,0,0,0,9.090909091,0,0,18.18181818,0,0,0,0,0,0,0,0,0,27.27272727,72.72727272
"To defeat the coronavirus, China built a thousand-bed hospital in 10 days, while India has prepared a modern hospital of 6,370 beds overnight, at a very low cost.",COVID Fake News Dataset,FALSE,28,25,4.892857143,14.28571429,7.142857143,7.142857143,0,0,0,0,0,28.57142858,3.571428571,3.571428571,0,3.571428571,0,3.571428571,14.28571428,14.28571429,0,0,14.28571429,3.571428571,0,0,0,3.571428571,0,7.142857143,14.28571429,0,0,14.28571429,0,0,0,0,0,0,3.571428571,0,0,39.28571429,60.71428572
